a,b,c,d,e,f,g,h,i,j,k,l,m,expectation,variance
60,60,2000,2000,80,140,80,101,2,3,0,0,2,0.938309386,0
50,80,1300,1300,50,105,97,105,2,3,0,0,3,-0.23538952,0
50,60,500,1300,90,120,50,98,2,3,0,1,0,-0.23538952,0
10,90,500,700,50,160,97,98,2,3,0,1,1,-0.23538952,0
20,120,2000,3000,100,140,90,103,2,3,0,1,2,-0.23538952,0
10,30,600,1000,130,160,95,110,2,3,0,1,3,-0.23538952,0
150,150,800,1100,105,130,97,150,2,3,0,2,0,-0.036535652,0
30,100,900,900,60,200,80,101,2,3,0,2,1,1.001598976,0
10,70,500,1100,95,140,102,150,2,3,0,2,2,-0.23538952,0
0,140,0,2000,100,200,0,110,2,3,0,2,3,0.893155584,0
0,140,700,1500,140,150,95,95,2,3,0,3,0,-0.23538952,0
20,140,700,1100,160,160,90,90,2,3,0,3,1,1.011472458,0
10,80,900,1400,50,130,50,100,2,3,0,3,2,0.232905165,0
10,20,0,900,130,200,102,103,2,3,0,3,3,-0.23538952,0
90,130,600,900,70,130,99,110,2,3,1,0,0,-0.23538952,0
60,70,0,1200,100,105,50,103,2,3,1,0,1,-0.23538952,0
30,50,800,1500,105,120,0,102,2,3,1,0,2,0.918941495,0
10,20,1400,1500,0,130,95,101,2,3,1,0,3,-0.23538952,0
60,120,800,1400,0,160,97,150,2,3,1,1,0,-0.23538952,0
70,100,1200,2000,95,100,98,120,2,3,1,1,1,-0.23538952,0
110,120,700,900,120,150,101,103,2,3,1,1,2,-0.23538952,0
40,110,700,1400,50,160,80,102,2,3,1,1,3,0.463894469,0
20,50,700,1500,100,130,0,99,2,3,1,2,0,-0.23538952,0
20,110,800,1100,50,110,80,90,2,3,1,2,1,-0.23538952,0
40,130,1200,2000,120,140,95,98,2,3,1,2,2,-0.23538952,0
20,90,1400,1400,110,160,98,101,2,3,1,2,3,-0.075445405,0
20,20,300,1400,110,150,50,100,2,3,1,3,0,0.543487657,0
0,10,1300,1300,120,200,95,110,2,3,1,3,1,-0.23538952,0
20,60,0,3000,105,130,0,120,2,3,1,3,2,0.889876708,0
20,100,900,2000,90,150,90,120,2,3,1,3,3,0.078544384,0
0,130,900,1500,95,110,0,101,2,3,2,0,0,0.139242038,0
20,50,700,1400,50,160,80,110,2,3,2,0,1,0.816412792,0
10,130,500,1200,70,130,80,110,2,3,2,0,2,0.700709786,0
40,80,300,1200,80,140,95,95,2,3,2,0,3,0.310642521,0
30,130,600,1400,0,105,0,101,2,3,2,1,0,0.232079024,0
40,80,1500,2000,90,95,98,99,2,3,2,1,1,-0.23538952,0
0,120,600,600,0,130,0,110,2,3,2,1,2,0.701459774,0
120,140,1500,3000,110,200,50,110,2,3,2,1,3,-0.23538952,0
20,140,300,1300,50,140,97,103,2,3,2,2,0,-0.099731626,0
10,80,300,900,105,120,90,100,2,3,2,2,1,0.160580123,0
50,110,500,900,140,200,50,90,2,3,2,2,2,-0.23538952,0
60,70,700,2000,105,110,101,102,2,3,2,2,3,-0.23538952,0
0,50,500,1300,50,120,50,100,2,3,2,3,0,0.797385797,0
70,120,700,1300,50,130,97,101,2,3,2,3,1,-0.23538952,0
20,70,600,1800,50,160,100,110,2,3,2,3,2,-0.118950936,0
90,140,1000,1100,70,95,97,99,2,3,2,3,3,-0.23538952,0
30,60,800,1500,100,200,50,110,2,3,3,0,0,0.064736782,0
50,60,1200,1500,150,160,97,98,2,3,3,0,1,-0.23538952,0
0,120,500,800,70,120,101,103,2,3,3,0,2,-0.23538952,0
80,110,0,600,50,70,105,110,2,3,3,0,3,-0.23538952,0
20,130,300,1000,110,110,97,102,2,3,3,1,0,0.028993483,0
70,90,800,1100,150,150,98,120,2,3,3,1,1,-0.23538952,0
50,100,1300,1500,100,200,80,90,2,3,3,1,2,-0.23538952,0
50,90,500,1100,160,160,80,98,2,3,3,1,3,-0.23538952,0
10,40,500,600,50,140,105,110,2,3,3,2,0,-0.23538952,0
60,140,1300,1800,120,160,90,103,2,3,3,2,1,-0.23538952,0
0,100,1400,1400,90,130,99,120,2,3,3,2,2,-0.007061234,0
50,90,600,1500,90,140,80,97,2,3,3,2,3,-0.23538952,0
30,110,500,1000,60,130,90,105,2,3,3,3,0,0.156438834,0
20,110,700,700,50,110,80,110,2,3,3,3,1,0.126529513,0
60,150,600,1400,100,160,97,97,2,3,3,3,2,-0.23538952,0
0,50,800,3000,0,110,0,120,2,3,3,3,3,0.072756017,0
20,70,800,900,95,120,80,105,3,0,0,0,0,-0.218938485,0
90,130,700,1800,140,160,95,101,3,0,0,0,1,-0.23538952,0
130,140,500,800,130,140,90,103,3,0,0,0,2,-0.23538952,0
100,110,500,800,110,140,50,97,3,0,0,0,3,-0.23538952,0
50,50,0,1100,95,120,90,150,3,0,0,1,0,-0.17003513,0
20,30,300,1200,60,70,80,98,3,0,0,1,1,-0.23538952,0
0,70,0,1100,0,70,99,120,3,0,0,1,2,-0.23538952,0
20,40,900,2000,95,150,50,80,3,0,0,1,3,-0.23538952,0
90,130,900,2000,160,200,99,100,3,0,0,2,0,-0.23538952,0
110,130,0,1300,0,100,80,98,3,0,0,2,1,-0.23538952,0
90,110,1000,1000,0,150,50,110,3,0,0,2,2,-0.23538952,0
100,100,1100,1200,140,150,105,150,3,0,0,2,3,-0.23538952,0
0,70,1300,1300,130,130,90,101,3,0,0,3,0,-0.017895381,0
90,100,900,1300,80,120,105,105,3,0,0,3,1,-0.23538952,0
60,60,500,1400,95,140,110,110,3,0,0,3,2,-0.14557466,0
70,90,800,1500,50,130,80,110,3,0,0,3,3,-0.23538952,0
30,50,700,1400,0,160,97,150,3,0,1,0,0,-1.161913158,0
40,60,700,1800,0,90,90,95,3,0,1,0,1,-0.23538952,0
110,140,700,1200,50,60,98,102,3,0,1,0,2,-0.23538952,0
40,120,500,1300,120,140,105,150,3,0,1,0,3,-0.23538952,0
10,100,3000,3000,60,150,0,110,3,0,1,1,0,-0.542404584,0
90,140,0,300,105,120,101,102,3,0,1,1,1,-0.23538952,0
40,100,1400,1500,60,95,97,150,3,0,1,1,2,-0.23538952,0
40,140,1200,1300,80,200,50,100,3,0,1,1,3,-0.23538952,0
50,70,600,1200,70,140,97,98,3,0,1,2,0,-0.23538952,0
30,50,500,1200,140,140,97,110,3,0,1,2,1,-0.547773566,0
0,70,0,900,150,160,97,97,3,0,1,2,2,-0.23538952,0
100,110,800,1800,110,120,99,101,3,0,1,2,3,-0.23538952,0
40,130,500,800,80,160,100,101,3,0,1,3,0,-0.163999971,0
20,30,600,1500,100,140,80,110,3,0,1,3,1,-0.226077818,0
0,140,1300,1300,70,200,90,101,3,0,1,3,2,-0.309683967,0
0,30,700,1300,95,100,100,102,3,0,1,3,3,-0.23538952,0
20,110,0,0,50,140,97,110,3,0,2,0,0,-0.572160717,0
20,150,1800,3000,95,130,95,120,3,0,2,0,1,-0.23538952,0
110,130,1400,1800,50,95,99,101,3,0,2,0,2,-0.23538952,0
60,60,0,1000,120,160,98,98,3,0,2,0,3,-0.23538952,0
10,110,500,1000,50,140,50,97,3,0,2,1,0,-0.23538952,0
30,140,0,1200,80,120,99,150,3,0,2,1,1,-1.617631515,0
30,140,1200,1500,100,105,0,95,3,0,2,1,2,-0.23538952,0
0,100,1500,1800,50,60,110,120,3,0,2,1,3,-0.23538952,0
30,150,1100,1400,100,120,102,103,3,0,2,2,0,-0.23538952,0
40,70,700,1200,80,105,105,105,3,0,2,2,1,-0.445820879,0
50,150,900,2000,60,90,100,120,3,0,2,2,2,-0.23538952,0
50,140,500,2000,80,160,50,97,3,0,2,2,3,-0.23538952,0
30,110,0,2000,95,120,0,97,3,0,2,3,0,-0.23538952,0
90,150,700,1300,70,150,105,110,3,0,2,3,1,-0.23538952,0
30,110,800,800,70,150,0,102,3,0,2,3,2,-0.367271385,0
70,150,0,500,0,0,50,103,3,0,2,3,3,-0.23538952,0
140,140,1000,3000,60,160,95,99,3,0,3,0,0,-0.23538952,0
20,140,300,1200,70,200,105,110,3,0,3,0,1,-0.23538952,0
10,70,600,900,105,130,97,103,3,0,3,0,2,-0.42358192,0
0,140,700,900,50,140,0,100,3,0,3,0,3,-0.435304926,0
110,130,800,1400,70,90,0,102,3,0,3,1,0,-0.23538952,0
0,30,1100,1100,120,200,0,90,3,0,3,1,1,-0.23538952,0
80,110,900,2000,140,200,0,100,3,0,3,1,2,-0.23538952,0
20,110,1100,1300,0,70,99,100,3,0,3,1,3,-0.23538952,0
50,120,700,1000,90,150,98,102,3,0,3,2,0,-0.23538952,0
70,120,500,600,140,200,97,103,3,0,3,2,1,-0.23538952,0
60,100,1000,2000,50,200,95,150,3,0,3,2,2,-0.23538952,0
10,120,1000,3000,95,120,0,105,3,0,3,2,3,-0.23538952,0
50,70,300,800,120,120,80,99,3,0,3,3,0,-0.23538952,0
80,90,500,3000,70,160,98,150,3,0,3,3,1,-0.23538952,0
30,130,600,700,100,100,0,80,3,0,3,3,2,-0.23538952,0
150,150,0,500,105,130,80,110,3,0,3,3,3,-0.23538952,0
50,120,300,600,100,105,97,100,3,1,0,0,0,-0.23538952,0
30,30,700,700,70,95,0,98,3,1,0,0,1,-0.23538952,0
10,100,0,1400,130,200,0,0,3,1,0,0,2,-0.23538952,0
10,80,300,1500,100,110,80,120,3,1,0,0,3,0.416548835,0
20,20,500,1200,60,130,50,150,3,1,0,1,0,0.729275526,0
80,120,300,700,95,130,80,120,3,1,0,1,1,-0.23538952,0
30,90,500,3000,70,200,80,110,3,1,0,1,2,0.577346541,0
10,120,700,1800,100,200,95,110,3,1,0,1,3,-0.043763812,0
0,70,500,1000,80,160,50,102,3,1,0,2,0,0.752736854,0
10,130,0,1000,95,160,50,110,3,1,0,2,1,0.721339955,0
30,50,1400,2000,90,140,0,120,3,1,0,2,2,-0.23538952,0
0,30,500,1500,100,105,80,103,3,1,0,2,3,-0.23538952,0
70,90,0,900,160,200,99,103,3,1,0,3,0,-0.23538952,0
20,40,300,1400,50,110,80,103,3,1,0,3,1,0.521253675,0
20,150,500,1000,90,160,0,103,3,1,0,3,2,0.677154094,0
10,150,1500,1500,60,60,80,150,3,1,0,3,3,0.640261115,0
0,130,500,1100,90,200,95,110,3,1,1,0,0,-0.053890682,0
60,120,3000,3000,50,100,97,100,3,1,1,0,1,-0.23538952,0
30,30,1800,3000,90,150,0,102,3,1,1,0,2,-0.23538952,0
0,150,500,600,0,160,99,101,3,1,1,0,3,-0.275572516,0
0,20,1800,2000,60,110,105,120,3,1,1,1,0,-0.23538952,0
30,70,800,3000,95,120,97,110,3,1,1,1,1,-0.069208956,0
10,150,700,3000,160,200,105,105,3,1,1,1,2,-0.23538952,0
10,120,600,1100,0,200,98,150,3,1,1,1,3,-0.174099032,0
20,120,300,700,140,140,97,101,3,1,1,2,0,-0.21127675,0
10,100,300,1800,105,160,0,120,3,1,1,2,1,-0.028850695,0
0,130,300,1300,100,100,103,103,3,1,1,2,2,-0.082578192,0
10,150,0,300,100,140,0,50,3,1,1,2,3,-0.23538952,0
40,100,1400,1800,150,160,90,103,3,1,1,3,0,-0.23538952,0
40,60,600,3000,60,110,50,100,3,1,1,3,1,-0.089898224,0
0,70,700,1000,90,200,99,99,3,1,1,3,2,0.001326784,0
