id,name,Pitch Ration (P/D),Expanded Area Ratio (EAR),Propeller Blade Number (Z),Rn,D,KT0,KT1,KT2,KQ0,KQ1,KQ2
119,P_8917,0.894,0.58,4,45750711.07,10,0.392107546,-0.285162265,-0.119935767,0.049647867,-0.02739523,-0.020609086
120,P_8918,0.894,0.588,4,45750711.07,8.8,0.393404156,-0.288083103,-0.118971086,0.049915209,-0.028015815,-0.020353068
121,P_8919,0.894,0.588,4,45750711.07,9,0.393404156,-0.288083103,-0.118971086,0.049915209,-0.028015815,-0.020353068
122,P_8920,0.894,0.588,4,45750711.07,9.2,0.393404156,-0.288083103,-0.118971086,0.049915209,-0.028015815,-0.020353068
123,P_8921,0.894,0.588,4,45750711.07,9.4,0.393404156,-0.288083103,-0.118971086,0.049915209,-0.028015815,-0.020353068
124,P_8922,0.894,0.588,4,45750711.07,9.6,0.393404156,-0.288083103,-0.118971086,0.049915209,-0.028015815,-0.020353068
125,P_8923,0.894,0.588,4,45750711.07,9.8,0.393404156,-0.288083103,-0.118971086,0.049915209,-0.028015815,-0.020353068
126,P_8924,0.894,0.588,4,45750711.07,10,0.393404156,-0.288083103,-0.118971086,0.049915209,-0.028015815,-0.020353068
127,P_8925,0.894,0.596,4,45750711.07,8.8,0.394690089,-0.290989526,-0.118005997,0.050179318,-0.028631748,-0.020095198
128,P_8926,0.894,0.596,4,45750711.07,9,0.394690089,-0.290989526,-0.118005997,0.050179318,-0.028631748,-0.020095198
129,P_8927,0.894,0.596,4,45750711.07,9.2,0.394690089,-0.290989526,-0.118005997,0.050179318,-0.028631748,-0.020095198
130,P_8928,0.894,0.596,4,45750711.07,9.4,0.394690089,-0.290989526,-0.118005997,0.050179318,-0.028631748,-0.020095198
131,P_8929,0.894,0.596,4,45750711.07,9.6,0.394690089,-0.290989526,-0.118005997,0.050179318,-0.028631748,-0.020095198
132,P_8930,0.894,0.596,4,45750711.07,9.8,0.394690089,-0.290989526,-0.118005997,0.050179318,-0.028631748,-0.020095198
133,P_8931,0.894,0.596,4,45750711.07,10,0.394690089,-0.290989526,-0.118005997,0.050179318,-0.028631748,-0.020095198
134,P_8932,0.894,0.604,4,45750711.07,8.8,0.395965345,-0.293881533,-0.117040499,0.050440193,-0.029243027,-0.019835476
135,P_8933,0.894,0.604,4,45750711.07,9,0.395965345,-0.293881533,-0.117040499,0.050440193,-0.029243027,-0.019835476
136,P_8934,0.894,0.604,4,45750711.07,9.2,0.395965345,-0.293881533,-0.117040499,0.050440193,-0.029243027,-0.019835476
137,P_8935,0.894,0.604,4,45750711.07,9.4,0.395965345,-0.293881533,-0.117040499,0.050440193,-0.029243027,-0.019835476
138,P_8936,0.894,0.604,4,45750711.07,9.6,0.395965345,-0.293881533,-0.117040499,0.050440193,-0.029243027,-0.019835476
139,P_8937,0.894,0.604,4,45750711.07,9.8,0.395965345,-0.293881533,-0.117040499,0.050440193,-0.029243027,-0.019835476
140,P_8938,0.894,0.604,4,45750711.07,10,0.395965345,-0.293881533,-0.117040499,0.050440193,-0.029243027,-0.019835476
141,P_8939,0.894,0.612,4,45750711.07,8.8,0.397229925,-0.296759124,-0.116074594,0.050697833,-0.029849654,-0.019573904
142,P_8940,0.894,0.612,4,45750711.07,9,0.397229925,-0.296759124,-0.116074594,0.050697833,-0.029849654,-0.019573904
143,P_8941,0.894,0.612,4,45750711.07,9.2,0.397229925,-0.296759124,-0.116074594,0.050697833,-0.029849654,-0.019573904
144,P_8942,0.894,0.612,4,45750711.07,9.4,0.397229925,-0.296759124,-0.116074594,0.050697833,-0.029849654,-0.019573904
145,P_8943,0.894,0.612,4,45750711.07,9.6,0.397229925,-0.296759124,-0.116074594,0.050697833,-0.029849654,-0.019573904
146,P_8944,0.894,0.612,4,45750711.07,9.8,0.397229925,-0.296759124,-0.116074594,0.050697833,-0.029849654,-0.019573904
147,P_8945,0.894,0.612,4,45750711.07,10,0.397229925,-0.296759124,-0.116074594,0.050697833,-0.029849654,-0.019573904
148,P_8946,0.894,0.62,4,45750711.07,8.8,0.398483828,-0.2996223,-0.11510828,0.050952239,-0.030451629,-0.01931048
149,P_8947,0.894,0.62,4,45750711.07,9,0.398483828,-0.2996223,-0.11510828,0.050952239,-0.030451629,-0.01931048
150,P_8948,0.894,0.62,4,45750711.07,9.2,0.398483828,-0.2996223,-0.11510828,0.050952239,-0.030451629,-0.01931048
151,P_8949,0.894,0.62,4,45750711.07,9.4,0.398483828,-0.2996223,-0.11510828,0.050952239,-0.030451629,-0.01931048
152,P_8950,0.894,0.62,4,45750711.07,9.6,0.398483828,-0.2996223,-0.11510828,0.050952239,-0.030451629,-0.01931048
153,P_8951,0.894,0.62,4,45750711.07,9.8,0.398483828,-0.2996223,-0.11510828,0.050952239,-0.030451629,-0.01931048
154,P_8952,0.894,0.62,4,45750711.07,10,0.398483828,-0.2996223,-0.11510828,0.050952239,-0.030451629,-0.01931048
155,P_8953,0.908,0.54,4,45750711.07,8.8,0.391398624,-0.268982441,-0.125000803,0.049735988,-0.024566231,-0.021984611
156,P_8954,0.908,0.54,4,45750711.07,9,0.391398624,-0.268982441,-0.125000803,0.049735988,-0.024566231,-0.021984611
