simmulate_count,hull_id,engine_id,propeller_id,NPV
107,1,4,84,250687650.19657859,10:11:12
108,1,1,85,161542464.70969224,10:15:56
109,1,2,85,259081740.98063844,10:22:43
110,1,3,85,269715268.86336309,10:30:52
111,1,4,85,252018268.25616801,10:34:05
112,1,1,86,166440370.92778036,10:38:48
113,1,2,86,260095097.25257757,10:45:27
114,1,3,86,273588985.78511423,10:53:38
115,1,4,86,255611285.1781781,10:56:46
116,1,1,87,175256097.41021284,11:01:31
117,1,2,87,263380347.69123748,11:08:09
118,1,3,87,274457934.58920163,11:16:19
119,1,4,87,255870626.43589398,11:19:32
120,1,1,88,182049648.15794483,11:24:16
121,1,2,88,264294644.30265275,11:30:55
122,1,3,88,270876686.93301445,11:38:50
123,1,4,88,251764386.67792678,11:42:03
124,1,1,89,188740563.66789526,11:46:48
125,1,2,89,266940533.92716977,11:53:28
126,1,3,89,267770592.95414394,12:01:12
127,1,4,89,251699265.38621104,12:04:20
128,1,1,90,196455371.14405766,12:09:05
129,1,2,90,269359195.83218771,12:15:45
130,1,3,90,266891541.47493842,12:23:29
131,1,4,90,248426648.43196735,12:26:41
132,1,1,91,198413521.45353916,12:31:26
133,1,2,91,272173663.11315149,12:38:05
134,1,3,91,268044717.75172499,12:45:49
135,1,4,91,250687650.19657859,12:48:57
136,1,1,92,162430002.98257226,12:53:41
137,1,2,92,271229859.05447423,13:00:40
138,1,3,92,269715268.86336309,13:08:49
139,1,4,92,252018268.25616801,13:12:02
140,1,1,93,166268821.82919902,13:16:47
141,1,2,93,260095097.25257757,13:23:27
142,1,3,93,273588985.78511423,13:31:41
143,1,4,93,255611285.1781781,13:34:49
144,1,1,94,177334127.70935395,13:39:36
145,1,2,94,263380347.69123748,13:46:15
146,1,3,94,274457934.58920163,13:54:26
147,1,4,94,255870626.43589398,13:57:38
148,1,1,95,182049648.15794483,14:02:22
149,1,2,95,264294644.30265275,14:09:01
150,1,3,95,272997783.47681916,14:16:55
151,1,4,95,251764386.67792678,14:20:08
152,1,1,96,188740563.66789526,14:24:55
153,1,2,96,266940533.92716977,14:31:36
154,1,3,96,267770592.95414394,14:39:22
155,1,4,96,251699265.38621104,14:42:31
156,1,1,97,197231780.83389995,14:47:17
157,1,2,97,269359195.83218771,14:53:59
158,1,3,97,266891541.47493842,15:01:45
159,1,4,97,248426648.43196735,15:04:59
160,1,1,98,199165066.77231127,15:09:46
161,1,2,98,272173663.11315149,15:16:26
162,1,3,98,268044717.75172499,15:24:12
163,1,4,98,250687650.19657859,15:27:21
164,1,1,99,163739367.0715605,15:32:08
165,1,2,99,271229859.05447423,15:39:07
166,1,3,99,269715268.86336309,15:47:20
167,1,4,99,252018268.25616801,15:50:34
168,1,1,100,168424621.06885961,15:55:20
169,1,2,100,260095097.25257757,16:02:02
170,1,3,100,273588985.78511423,16:10:15
171,1,4,100,255611285.1781781,16:13:25
172,1,1,101,177334127.70935395,16:18:10
173,1,2,101,263380347.69123748,16:24:51
174,1,3,101,274457934.58920163,16:33:03
175,1,4,101,255870626.43589398,16:36:16
176,1,1,102,182049648.15794483,16:41:03
177,1,2,102,264294644.30265275,16:47:42
178,1,3,102,272997783.47681916,16:55:39
179,1,4,102,251764386.67792678,16:58:51
180,1,1,103,189904499.22016606,17:03:36
181,1,2,103,266940533.92716977,17:10:15
182,1,3,103,267770592.95414394,17:18:01
183,1,4,103,251699265.38621104,17:21:09
184,1,1,104,197231780.83389995,17:25:54
185,1,2,104,269359195.83218771,17:32:33
186,1,3,104,266891541.47493842,17:40:19
187,1,4,104,248426648.43196735,17:43:31
188,1,1,105,205462914.31378075,17:48:17
189,1,2,105,272173663.11315149,17:54:56
190,1,3,105,268044717.75172499,18:02:42
191,1,4,105,250687650.19657859,18:05:50
192,1,1,106,164566769.09655258,18:10:35
193,1,2,106,271229859.05447423,18:17:35
194,1,3,106,269715268.86336309,18:25:48
195,1,4,106,252018268.25616801,18:29:01
196,1,1,107,168424621.06885961,18:33:47
197,1,2,107,260095097.25257757,18:40:28
198,1,3,107,273588985.78511423,18:48:41
199,1,4,107,255611285.1781781,18:51:50
200,1,1,108,173272423.29315457,18:56:35
201,1,2,108,264340489.08100224,19:03:15
202,1,3,108,274457934.58920163,19:11:25
203,1,4,108,255920901.72363907,19:14:38
204,1,1,109,184066602.9076578,19:19:23
205,1,2,109,264294644.30265275,19:26:03
206,1,3,109,272997783.47681916,19:33:58
207,1,4,109,251764386.67792678,19:37:10
208,1,1,110,190697805.8447732,19:41:54
209,1,2,110,266940533.92716977,19:48:32
210,1,3,110,267770592.95414394,19:56:16
211,1,4,110,251699265.38621104,19:59:24
212,1,1,111,197231780.83389995,20:04:08
213,1,2,111,269359195.83218771,20:10:47
214,1,3,111,266891541.47493842,20:18:32
215,1,4,111,248426648.43196735,20:21:44
216,1,1,112,200236470.16898373,20:26:29
217,1,2,112,272173663.11315149,20:33:08
218,1,3,112,268044717.75172499,20:40:52
219,1,4,112,250687650.19657859,20:44:00
220,1,1,113,166363500.57464662,20:48:44
221,1,2,113,271229859.05447423,20:55:43
222,1,3,113,269715268.86336309,21:03:53
223,1,4,113,252018268.25616801,21:07:05
224,1,1,114,168424621.06885961,21:11:49
225,1,2,114,258544439.29264861,21:18:28
226,1,3,114,273588985.78511423,21:26:28
227,1,4,114,255611285.1781781,21:29:25
