hull_id,engine_id,propeller_id,NPV
1,2,30,260035908.42731234
1,3,30,272959272.77927315
1,4,30,253929975.52475297
1,1,31,167633879.67123947
1,2,31,260227911.84239775
1,3,31,272730086.46142948
1,4,31,249349310.25406235
1,1,32,180112956.5545691
1,2,32,264340489.08100224
1,3,32,271247211.0214383
1,4,32,254010132.97444764
1,1,33,186865189.49867514
1,2,33,265863263.36655223
1,3,33,272361367.05056667
1,4,33,253797826.07876068
1,1,34,187995301.69146839
1,2,34,268394572.3666563
1,3,34,265641981.08205786
1,4,34,252626362.36925155
1,1,35,195332924.37709141
1,2,35,269359195.83218771
1,3,35,270024968.68025857
1,4,35,248508242.69600013
1,1,36,156674789.90656355
1,2,36,268706652.39433414
1,3,36,270008102.57142574
1,4,36,249513314.90188792
1,1,37,159242103.16508538
1,2,37,260035908.42731234
1,3,37,272959272.77927315
1,4,37,256130066.5586724
1,1,38,168486381.19210711
1,2,38,260227911.84239775
1,3,38,272730086.46142948
1,4,38,249349310.25406235
1,1,39,174421516.11446112
1,2,39,264340489.08100224
1,3,39,271247211.0214383
1,4,39,254010132.97444764
1,1,40,181232675.35488743
1,2,40,265863263.36655223
1,3,40,272361367.05056667
1,4,40,255919984.69352141
1,1,41,187940861.87410924
1,2,41,268394572.3666563
1,3,41,265641981.08205786
1,4,41,252595776.36932993
1,1,42,196455371.14405766
1,2,42,269359195.83218771
1,3,42,270024968.68025857
1,4,42,248508242.69600013
1,1,43,157574392.41114065
1,2,43,268706652.39433414
1,3,43,270008102.57142574
1,4,43,249513314.90188792
1,1,44,160772866.90579826
1,2,44,272172182.44715834
1,3,44,272959272.77927315
1,4,44,256130066.5586724
1,1,45,170627142.33213902
1,2,45,260790015.09774807
1,3,45,272730086.46142948
1,4,45,256166341.3048189
1,1,46,175256097.41021284
1,2,46,264886119.07475936
1,3,46,271247211.0214383
1,4,46,250974078.71767542
1,1,47,181232675.35488743
1,2,47,264420549.76138505
1,3,47,272361367.05056667
1,4,47,255919984.69352141
1,1,48,188740563.66789526
1,2,48,268468871.72507393
1,3,48,265641981.08205786
1,4,48,252595776.36932993
1,1,49,197231780.83389995
1,2,49,269359195.83218771
1,3,49,270024968.68025857
1,4,49,248508242.69600013
1,1,50,157574392.41114065
1,2,50,268706652.39433414
1,3,50,270008102.57142574
1,4,50,255862074.79641908
1,1,51,161542464.70969224
1,2,51,258449320.72960359
1,3,51,272959272.77927315
1,4,51,256130066.5586724
1,1,52,166440370.92778036
1,2,52,258677105.71133471
1,3,52,272730086.46142948
1,4,52,256166341.3048189
1,1,53,176506041.64883509
1,2,53,261710627.4530021
1,3,53,271247211.0214383
1,4,53,253240381.00709549
1,1,54,182049648.15794483
1,2,54,264420549.76138505
1,3,54,272361367.05056667
1,4,54,255919984.69352141
1,1,55,189904499.22016606
1,2,55,268468871.72507393
1,3,55,265641981.08205786
1,4,55,252595776.36932993
1,1,56,197231780.83389995
1,2,56,270254162.13668483
1,3,56,269486548.81293035
1,4,56,248508242.69600013
1,1,57,154625834.23600227
1,2,57,269681814.25840151
1,3,57,270008102.57142574
1,4,57,255862074.79641908
1,1,58,162430002.98257226
1,2,58,258526369.10430294
1,3,58,273046901.01453441
1,4,58,256130066.5586724
1,1,59,166268821.82919902
1,2,59,260207639.19991836
1,3,59,272187101.00860447
1,4,59,256166341.3048189
1,1,60,177417177.62431487
1,2,60,264294090.03760225
1,3,60,272348336.37374401
1,4,60,253240381.00709549
1,1,61,184066602.9076578
1,2,61,264420549.76138505
1,3,61,272361367.05056667
1,4,61,255919984.69352141
1,1,62,190697805.8447732
